id,title,description,difficulty_level,examples,constraints,test_cases
67,Minimum Difference After k Sort Operations,"Given an array of integers `nums` and an integer `k`, you are allowed to perform at most `k` operations. In each operation, you can choose any element `nums[i]` and increment or decrement it by 1. The goal is to minimize the difference between the maximum and minimum elements in the array after performing at most `k` operations. Return 1 if it's possible to make the difference 0, otherwise return 0. In other words, return 1 if you can make all elements equal to each other, and 0 otherwise.",Hard,"[{""input"": {""k"": 6, ""nums"": [1, 4, 7]}, ""output"": 1}, {""input"": {""k"": 4, ""nums"": [1, 4, 7]}, ""output"": 0}]","[""0 <= k <= 10^9"", ""1 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""k"": 6, ""nums"": [1, 4, 7]}, ""expected_output"": 1}, {""input"": {""k"": 4, ""nums"": [1, 4, 7]}, ""expected_output"": 0}, {""input"": {""k"": 0, ""nums"": [10]}, ""expected_output"": 1}, {""input"": {""k"": 10, ""nums"": [2, 7, 20, 22]}, ""expected_output"": 0}, {""input"": {""k"": 30, ""nums"": [2, 7, 20, 22]}, ""expected_output"": 1}]"
68,Maximum Width of Binary Tree with Null Nodes,"Given the root of a binary tree, return the maximum width of the given tree.

The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes are also counted into the length calculation.

It is guaranteed that the width of the tree will fit in a 32-bit signed integer.",Hard,"[{""input"": {""root"": ""[1,3,2,5,3,null,9]""}, ""output"": 4}, {""input"": {""root"": ""[1,3,2,5,null,null,9,6,null,7]""}, ""output"": 7}]","[""-100 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [1, 3000].""]","[{""input"": {""root"": ""[1,3,2,5,3,null,9]""}, ""expected_output"": 4}, {""input"": {""root"": ""[1,3,2,5,null,null,9,6,null,7]""}, ""expected_output"": 7}, {""input"": {""root"": ""[1,3,2,5]""}, ""expected_output"": 2}, {""input"": {""root"": ""[1,3,2,5,null,null,9,6,null,7,null,null,null,null,8]""}, ""expected_output"": 8}, {""input"": {""root"": ""[1]""}, ""expected_output"": 1}]"
69,Lemonade Change,"At a lemonade stand, each lemonade costs $5. Customers are standing in a queue to buy from you, and order one at a time (in the order specified by bills). Each customer will only buy one lemonade and pay with either a $5, $10, or $20 bill. You must provide the correct change to each customer so that they can buy a lemonade. Initially, you have no money. You are given an integer array bills where bills[i] is the bill the ith customer pays. Return 1 if you can provide every customer with the correct change, or 0 if you cannot.",Easy,"[{""input"": {""bills"": [5, 5, 5, 10, 20]}, ""output"": 1}, {""input"": {""bills"": [5, 5, 10, 10, 20]}, ""output"": 0}]","[""bills[i] is either 5, 10, or 20."", ""1 <= bills.length <= 10^5""]","[{""input"": {""bills"": [5, 5, 5, 10, 20]}, ""expected_output"": 1}, {""input"": {""bills"": [5, 5, 10, 10, 20]}, ""expected_output"": 0}, {""input"": {""bills"": [5, 5, 5, 10, 5, 5, 5, 20, 20, 5]}, ""expected_output"": 1}, {""input"": {""bills"": [5, 5, 5, 20]}, ""expected_output"": 1}, {""input"": {""bills"": [10, 10]}, ""expected_output"": 0}]"
70,Minimum Cost Path with Forbidden Nodes,"Given a weighted directed graph represented by an adjacency list 'graph', a starting node 'start', an ending node 'end', and a set of forbidden nodes 'forbidden', find the minimum cost path from 'start' to 'end'. You are not allowed to traverse any of the forbidden nodes. If no path exists, return -1.",Hard,"[{""input"": {""end"": 3, ""graph"": {""0"": [[1, 2], [2, 5]], ""1"": [[2, 1], [3, 10]], ""2"": [[3, 3]], ""3"": []}, ""start"": 0, ""forbidden"": []}, ""output"": 8}, {""input"": {""end"": 3, ""graph"": {""0"": [[1, 2], [2, 5]], ""1"": [[2, 1], [3, 10]], ""2"": [[3, 3]], ""3"": []}, ""start"": 0, ""forbidden"": [2]}, ""output"": 12}]","[""start != end"", ""0 \u2264 edge weight \u2264 1000"", ""0 \u2264 node value < number of nodes"", ""1 \u2264 number of nodes in graph \u2264 100""]","[{""input"": {""end"": 3, ""graph"": {""0"": [[1, 2], [2, 5]], ""1"": [[2, 1], [3, 10]], ""2"": [[3, 3]], ""3"": []}, ""start"": 0, ""forbidden"": []}, ""expected_output"": 8}, {""input"": {""end"": 3, ""graph"": {""0"": [[1, 2], [2, 5]], ""1"": [[2, 1], [3, 10]], ""2"": [[3, 3]], ""3"": []}, ""start"": 0, ""forbidden"": [2]}, ""expected_output"": 12}, {""input"": {""end"": 3, ""graph"": {""0"": [[1, 2], [2, 5]], ""1"": [[2, 1], [3, 10]], ""2"": [[3, 3]], ""3"": []}, ""start"": 0, ""forbidden"": [1, 2]}, ""expected_output"": -1}, {""input"": {""end"": 1, ""graph"": {""0"": [[1, 10]], ""1"": []}, ""start"": 0, ""forbidden"": []}, ""expected_output"": 10}, {""input"": {""end"": 1, ""graph"": {""0"": [[1, 10]], ""1"": []}, ""start"": 0, ""forbidden"": [1]}, ""expected_output"": -1}]"
71,Coin Change Existence,"Given a set of coin denominations and a target amount, determine if it's possible to make exact change for the target amount using the given coins. Assume an unlimited supply of each coin denomination. Return 1 if it's possible, otherwise return 0.",Medium,"[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""output"": 1}, {""input"": {""coins"": [2], ""amount"": 3}, ""output"": 0}]","[""All coin values are distinct."", ""0 <= amount <= 10000"", ""1 <= coins[i] <= 1000"", ""1 <= coins.length <= 12""]","[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""expected_output"": 1}, {""input"": {""coins"": [2], ""amount"": 3}, ""expected_output"": 0}, {""input"": {""coins"": [1, 2, 5], ""amount"": 0}, ""expected_output"": 1}, {""input"": {""coins"": [3, 7, 405, 436], ""amount"": 8839}, ""expected_output"": 1}, {""input"": {""coins"": [2, 5, 8], ""amount"": 7}, ""expected_output"": 1}]"
72,Maximum Width of Binary Tree with Same Level Nodes,"Given the root of a binary tree, return the maximum width of the tree. The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes are also counted into the length calculation.
It is guaranteed that the width of the tree will fit in a 32-bit signed integer.

Specifically, assign each node a position value. The root node starts at position 0. For each node at position i, the left child will be at position 2 * i and the right child will be at position 2 * i + 1. The width of each level is then the difference between the largest and smallest position values of the nodes at that level. Return 1 if the maximum width is equal to the width of the root level; otherwise, return 0.",Hard,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 3, ""left"": {""val"": 5}, ""right"": {""val"": 3}}, ""right"": {""val"": 2, ""right"": {""val"": 9}}}}, ""output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 3, ""left"": {""val"": 5, ""left"": {""val"": 6}}}, ""right"": {""val"": 2, ""right"": {""val"": 9, ""left"": {""val"": 7}}}}}, ""output"": 0}]","[""-100 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [1, 3000].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 3, ""left"": {""val"": 5}, ""right"": {""val"": 3}}, ""right"": {""val"": 2, ""right"": {""val"": 9}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 3, ""left"": {""val"": 5, ""left"": {""val"": 6}}}, ""right"": {""val"": 2, ""right"": {""val"": 9, ""left"": {""val"": 7}}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2}, ""right"": {""val"": 3}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4}}, ""right"": {""val"": 3}}}, ""expected_output"": 0}]"
73,Non-overlapping Intervals,"Given a collection of intervals, find the minimum number of intervals you need to remove to make the rest of the intervals non-overlapping. An interval [a, b] overlaps with [c, d] if a < d and c < b.",Easy,"[{""input"": {""intervals"": [[1, 2], [2, 3], [3, 4], [1, 3]]}, ""output"": 1}, {""input"": {""intervals"": [[1, 2], [1, 2], [1, 2]]}, ""output"": 2}]","[""-5 * 10^4 <= starti < endi <= 5 * 10^4"", ""intervals[i].length == 2"", ""1 <= intervals.length <= 2 * 10^4""]","[{""input"": {""intervals"": [[1, 2], [2, 3], [3, 4], [1, 3]]}, ""expected_output"": 1}, {""input"": {""intervals"": [[1, 2], [1, 2], [1, 2]]}, ""expected_output"": 2}, {""input"": {""intervals"": [[1, 100], [11, 22], [1, 11], [2, 12]]}, ""expected_output"": 2}, {""input"": {""intervals"": [[1, 2]]}, ""expected_output"": 0}, {""input"": {""intervals"": [[0, 2], [1, 3], [2, 4], [3, 5]]}, ""expected_output"": 0}]"
74,Serialize and Deserialize N-ary Tree to Sum Representation,"Given the root of an N-ary tree, serialize it into a sum representation and deserialize the sum representation back into the original N-ary tree. The serialization process involves traversing the tree in a specific order and generating a string representation based on the sum of node values at each level. The deserialization process involves reconstructing the tree from the sum representation. Return 1 if the deserialized tree is structurally identical and has the same values as the original tree, otherwise return 0. An empty tree should return 1.",Hard,"[{""input"": {""tree"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": [{""val"": 4, ""children"": []}]}, {""val"": 5, ""children"": []}]}}, ""output"": 1}, {""input"": {""tree"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": []}]}}, ""output"": 1}]","[""0 <= Node.val <= 10^4"", ""The number of nodes in the tree is in the range [0, 10^4].""]","[{""input"": {""tree"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": [{""val"": 4, ""children"": []}]}, {""val"": 5, ""children"": []}]}}, ""expected_output"": 1}, {""input"": {""tree"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}, {""val"": 3, ""children"": []}]}}, ""expected_output"": 1}, {""input"": {""tree"": {""val"": 1, ""children"": []}}, ""expected_output"": 1}, {""input"": {""tree"": null}, ""expected_output"": 1}, {""input"": {""tree"": {""val"": 1, ""children"": [{""val"": 2, ""children"": []}]}}, ""expected_output"": 1}]"
75,Cycle Detection in a Directed Graph,"Given a directed graph represented by an adjacency list, determine if the graph contains a cycle. Return 1 if a cycle exists, and 0 otherwise.",Medium,"[{""input"": {""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}}, ""output"": 1}, {""input"": {""graph"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}}, ""output"": 0}]","[""The adjacency list will be a dictionary where keys are node labels and values are lists of their neighbors."", ""The graph will have at most 100 nodes, labeled from 0 to 99.""]","[{""input"": {""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}}, ""expected_output"": 1}, {""input"": {""graph"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}}, ""expected_output"": 0}, {""input"": {""graph"": {""0"": [1], ""1"": [0]}}, ""expected_output"": 1}, {""input"": {""graph"": {""0"": [2, 3], ""1"": [0], ""2"": [1], ""3"": []}}, ""expected_output"": 1}, {""input"": {""graph"": {""0"": []}}, ""expected_output"": 0}]"
76,Maximum Weighted Matching with Interval Scheduling,"Given a set of intervals, where each interval has a start time, finish time, and a weight, find a maximum-weight set of non-overlapping intervals. Return the maximum weight achievable.",Hard,"[{""input"": {""intervals"": [{""start"": 1, ""finish"": 3, ""weight"": 5}, {""start"": 2, ""finish"": 4, ""weight"": 6}, {""start"": 3, ""finish"": 5, ""weight"": 2}, {""start"": 4, ""finish"": 6, ""weight"": 4}]}, ""output"": 11}, {""input"": {""intervals"": [{""start"": 1, ""finish"": 4, ""weight"": 3}, {""start"": 0, ""finish"": 2, ""weight"": 5}, {""start"": 3, ""finish"": 6, ""weight"": 4}, {""start"": 5, ""finish"": 7, ""weight"": 2}, {""start"": 8, ""finish"": 9, ""weight"": 4}]}, ""output"": 15}]","[""1 <= weight <= 10^4"", ""0 <= start < finish <= 10^9"", ""1 <= intervals.length <= 10^5""]","[{""input"": {""intervals"": [{""start"": 1, ""finish"": 3, ""weight"": 5}, {""start"": 2, ""finish"": 4, ""weight"": 6}, {""start"": 3, ""finish"": 5, ""weight"": 2}, {""start"": 4, ""finish"": 6, ""weight"": 4}]}, ""expected_output"": 11}, {""input"": {""intervals"": [{""start"": 1, ""finish"": 4, ""weight"": 3}, {""start"": 0, ""finish"": 2, ""weight"": 5}, {""start"": 3, ""finish"": 6, ""weight"": 4}, {""start"": 5, ""finish"": 7, ""weight"": 2}, {""start"": 8, ""finish"": 9, ""weight"": 4}]}, ""expected_output"": 15}, {""input"": {""intervals"": [{""start"": 0, ""finish"": 1, ""weight"": 10}, {""start"": 1, ""finish"": 2, ""weight"": 5}, {""start"": 2, ""finish"": 3, ""weight"": 12}]}, ""expected_output"": 22}, {""input"": {""intervals"": [{""start"": 0, ""finish"": 5, ""weight"": 10}, {""start"": 6, ""finish"": 10, ""weight"": 15}]}, ""expected_output"": 25}, {""input"": {""intervals"": [{""start"": 0, ""finish"": 1, ""weight"": 1}, {""start"": 0, ""finish"": 2, ""weight"": 2}, {""start"": 0, ""finish"": 3, ""weight"": 3}, {""start"": 0, ""finish"": 4, ""weight"": 4}]}, ""expected_output"": 4}]"
77,Check if Two Nodes are Cousins in a Binary Tree,"Given the root of a binary tree with unique values, and two node values x and y, return 1 if the nodes corresponding to the values x and y are cousins, or 0 otherwise.

Two nodes are cousins if:

They are on the same level of the tree.
Their parents are different.",Medium,"[{""input"": {""x"": 4, ""y"": 3, ""root"": [1, 2, 3, 4]}, ""output"": 0}, {""input"": {""x"": 5, ""y"": 4, ""root"": [1, 2, 3, null, 4, null, 5]}, ""output"": 1}]","[""x and y are exist in the tree."", ""x != y"", ""Each node has a unique value."", ""1 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [2, 100].""]","[{""input"": {""x"": 4, ""y"": 3, ""root"": [1, 2, 3, 4]}, ""expected_output"": 0}, {""input"": {""x"": 5, ""y"": 4, ""root"": [1, 2, 3, null, 4, null, 5]}, ""expected_output"": 1}, {""input"": {""x"": 2, ""y"": 3, ""root"": [1, 2, 3, null, 4]}, ""expected_output"": 0}, {""input"": {""x"": 4, ""y"": 3, ""root"": [1, 2, 3, null, 4]}, ""expected_output"": 1}, {""input"": {""x"": 5, ""y"": 6, ""root"": [1, 2, 3, 5, null, 6, 7, null, 8]}, ""expected_output"": 0}]"
78,Find Element in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, return 1 if the target exists in the array, otherwise return 0.",Easy,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""output"": 1}]","[""nums is sorted in ascending order."", ""All the integers in nums are unique."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5], ""target"": 1}, ""expected_output"": 0}]"
79,Path with Maximum Probability,"You are given an undirected weighted graph of n nodes (0-indexed), represented by an edge list where edges[i] = [a, b, weight] denotes an edge between nodes a and b with weight equivalent to the probability of traversing this edge successfully. You are also given a start node start and a target node end. Return the maximum probability of a successful path starting at start and ending at end. If there is no path between start and end, return 0. Your answer will be accepted if it differs from the correct answer by at most 1e-5.",Medium,"[{""input"": {""n"": 3, ""end"": 2, ""edges"": [[0, 1, 0.5], [0, 2, 0.2], [1, 2, 0.5]], ""start"": 0}, ""output"": 0}, {""input"": {""n"": 3, ""end"": 2, ""edges"": [[0, 1, 0.5], [0, 2, 0.2], [1, 2, 0.5]], ""start"": 0}, ""output"": 0}]","[""0 <= weight <= 1"", ""a != b"", ""0 <= a, b < n"", ""edges[i].length == 3"", ""0 <= edges.length <= 2 * 10^4"", ""start != end"", ""0 <= start, end < n"", ""2 <= n <= 10^4""]","[{""input"": {""n"": 3, ""end"": 2, ""edges"": [[0, 1, 0.5], [0, 2, 0.2], [1, 2, 0.5]], ""start"": 0}, ""expected_output"": 0}, {""input"": {""n"": 3, ""end"": 2, ""edges"": [[0, 1, 0.5], [0, 2, 0.2], [1, 2, 0.5]], ""start"": 0}, ""expected_output"": 0}, {""input"": {""n"": 5, ""end"": 4, ""edges"": [[0, 1, 0.1], [0, 2, 0.9], [2, 3, 0.3], [3, 4, 0.5], [2, 0, 0.1], [1, 4, 0.2]], ""start"": 0}, ""expected_output"": 0}, {""input"": {""n"": 3, ""end"": 2, ""edges"": [], ""start"": 0}, ""expected_output"": 0}, {""input"": {""n"": 4, ""end"": 3, ""edges"": [[0, 1, 0.5], [1, 2, 0.5], [2, 3, 0.5]], ""start"": 0}, ""expected_output"": 0}]"
80,Maximum Sum Subarray After Circular Shift,"Given an array of integers `nums`, you can perform a circular shift operation any number of times. A circular shift operation moves the last element to the front of the array. Find the maximum sum of any contiguous subarray after performing any number of circular shifts. Return the maximum possible sum.",Hard,"[{""input"": {""nums"": [1, -2, 3, -2]}, ""output"": 4}, {""input"": {""nums"": [5, -3, 5]}, ""output"": 10}]","[""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, -2, 3, -2]}, ""expected_output"": 4}, {""input"": {""nums"": [5, -3, 5]}, ""expected_output"": 10}, {""input"": {""nums"": [-2, -3, -1]}, ""expected_output"": -1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 10}, {""input"": {""nums"": [-1, -2, -3, -4]}, ""expected_output"": -1}]"
81,Check if Array is Sorted,"Given an array of integers, return 1 if the array is sorted in non-decreasing order, and 0 otherwise.",Easy,"[{""input"": {""arr"": [1, 2, 3, 4, 5]}, ""output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""output"": 0}]","[""-100 <= arr[i] <= 100"", ""1 <= arr.length <= 100""]","[{""input"": {""arr"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""expected_output"": 0}, {""input"": {""arr"": [1, 2, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""arr"": [1]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 3, 2, 4, 5]}, ""expected_output"": 0}]"
82,Minimum Swaps to Sort,"Given an array of distinct integers, find the minimum number of swaps required to sort the array in ascending order. You are allowed to swap any two elements in the array. Return the minimum number of swaps required, or -1 if the array cannot be sorted.",Hard,"[{""input"": {""arr"": [7, 1, 3, 2, 4, 5, 6]}, ""output"": 5}, {""input"": {""arr"": [4, 3, 2, 1]}, ""output"": 2}]","[""All elements in arr are distinct."", ""1 \u2264 arr[i] \u2264 10^5"", ""1 \u2264 arr.length \u2264 10^5""]","[{""input"": {""arr"": [7, 1, 3, 2, 4, 5, 6]}, ""expected_output"": 5}, {""input"": {""arr"": [4, 3, 2, 1]}, ""expected_output"": 2}, {""input"": {""arr"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}, {""input"": {""arr"": [10, 19, 6, 3, 5]}, ""expected_output"": 2}, {""input"": {""arr"": [2, 8, 5, 4]}, ""expected_output"": 1}]"
83,Palindrome Substrings,"Given a string s, determine if the number of palindrome substrings with length greater than 1 is even or odd. Return 0 if the number is even, and 1 if the number is odd.",Medium,"[{""input"": {""s"": ""abaab""}, ""output"": 1}, {""input"": {""s"": ""abba""}, ""output"": 0}]","[""s consists of lowercase English letters."", ""1 \u2264 s.length \u2264 1000""]","[{""input"": {""s"": ""abaab""}, ""expected_output"": 1}, {""input"": {""s"": ""abba""}, ""expected_output"": 0}, {""input"": {""s"": ""a""}, ""expected_output"": 0}, {""input"": {""s"": ""aaaa""}, ""expected_output"": 0}, {""input"": {""s"": ""abcba""}, ""expected_output"": 1}]"
84,Maximum Activities,"You are given n activities with their start and finish times. Select the maximum number of activities that can be performed by a single person, assuming that a person can only work on one activity at a time. Return the maximum number of non-overlapping activities that can be performed.",Hard,"[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""output"": 3}]","[""start_time[i] < finish_time[i]"", ""0 \u2264 finish_time[i] \u2264 10^9"", ""0 \u2264 start_time[i] \u2264 10^9"", ""1 \u2264 n \u2264 10^5""]","[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""expected_output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""expected_output"": 3}, {""input"": {""start_times"": [10, 12, 20], ""finish_times"": [20, 25, 30]}, ""expected_output"": 3}, {""input"": {""start_times"": [1, 2, 3, 4, 5], ""finish_times"": [2, 3, 4, 5, 6]}, ""expected_output"": 5}, {""input"": {""start_times"": [1, 2, 3, 4, 5], ""finish_times"": [7, 8, 9, 10, 11]}, ""expected_output"": 5}]"
85,Find First Occurrence,"Given a sorted array of integers `nums` and a target integer `target`, return the index of the first occurrence of the `target` in the array. If the `target` is not found, return -1.",Easy,"[{""input"": {""nums"": [2, 5, 5, 5, 6, 6, 8, 9], ""target"": 5}, ""output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": -1}]","[""nums is sorted in non-decreasing order."", ""-10^4 <= nums[i], target <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [2, 5, 5, 5, 6, 6, 8, 9], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": -1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 0}, ""expected_output"": -1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 2}, {""input"": {""nums"": [1, 1, 1, 1, 1], ""target"": 1}, ""expected_output"": 0}]"
86,Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. How many distinct ways can you climb to the top? Return the number of distinct ways modulo 1000000007.,Easy,"[{""input"": {""n"": 2}, ""output"": 2}, {""input"": {""n"": 3}, ""output"": 3}]","[""1 <= n <= 45""]","[{""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 2}, ""expected_output"": 2}, {""input"": {""n"": 3}, ""expected_output"": 3}, {""input"": {""n"": 4}, ""expected_output"": 5}, {""input"": {""n"": 5}, ""expected_output"": 8}]"
87,Minimum Window Substring with K Distinct Characters,"Given a string `s` and an integer `k`, find the length of the smallest substring of `s` that contains exactly `k` distinct characters. If no such substring exists, return -1.",Hard,"[{""input"": {""k"": 2, ""s"": ""abcabcbb""}, ""output"": 2}, {""input"": {""k"": 3, ""s"": ""abaccc""}, ""output"": 6}]","[""s consists of lowercase English letters."", ""1 <= k <= 26"", ""1 <= s.length <= 10^5""]","[{""input"": {""k"": 2, ""s"": ""abcabcbb""}, ""expected_output"": 2}, {""input"": {""k"": 3, ""s"": ""abaccc""}, ""expected_output"": 6}, {""input"": {""k"": 1, ""s"": ""aabbcc""}, ""expected_output"": 1}, {""input"": {""k"": 4, ""s"": ""aabbcc""}, ""expected_output"": -1}, {""input"": {""k"": 1, ""s"": ""aaaaaaaaaa""}, ""expected_output"": 1}]"
88,Maximum Events Attended II,"You are given an array of events where events[i] = [startDayi, endDayi, valuei]. The ith event starts at startDayi and ends at endDayi, and if you attend this event, you will receive a value of valuei. You are also given an integer k which represents the maximum number of events you can attend. You can only attend one event at a time. If you choose to attend an event, you must attend the entire event. Note that the end day is inclusive: that is, you cannot attend two events where one of them starts and the other ends on the same day. Return the maximum sum of values that you can receive by attending events.",Hard,"[{""input"": {""k"": 2, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""output"": 7}, {""input"": {""k"": 1, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""output"": 4}]","[""1 <= valuei <= 10^6"", ""1 <= startDayi <= endDayi <= 10^9"", ""events[i].length == 3"", ""1 <= events.length <= 10^5"", ""1 <= k <= events.length""]","[{""input"": {""k"": 2, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""expected_output"": 7}, {""input"": {""k"": 1, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""expected_output"": 4}, {""input"": {""k"": 3, ""events"": [[1, 1, 1], [2, 2, 2], [3, 3, 3], [4, 4, 4]]}, ""expected_output"": 9}, {""input"": {""k"": 2, ""events"": [[1, 3, 2], [2, 4, 3], [3, 5, 4], [4, 6, 1]]}, ""expected_output"": 6}, {""input"": {""k"": 3, ""events"": [[1, 10, 1], [2, 3, 5], [4, 5, 3], [6, 7, 4], [8, 8, 6]]}, ""expected_output"": 15}]"
89,Activity Selection,"Given a set of activities with their start and finish times, select the maximum number of activities that can be performed by a single person, assuming that a person can only work on one activity at a time. Return the maximum number of activities that can be performed.",Medium,"[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""output"": 3}]","[""0 \u2264 start time < finish time \u2264 10^9"", ""1 \u2264 number of activities \u2264 10^4""]","[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""expected_output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""expected_output"": 3}, {""input"": {""start_times"": [10, 12, 20], ""finish_times"": [20, 25, 30]}, ""expected_output"": 3}, {""input"": {""start_times"": [1, 2, 3, 4, 5, 6], ""finish_times"": [2, 3, 4, 5, 6, 7]}, ""expected_output"": 6}, {""input"": {""start_times"": [1, 2, 3, 4, 5, 6], ""finish_times"": [7, 8, 9, 10, 11, 12]}, ""expected_output"": 6}]"
90,Search Insert Position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. Return -1 if the array is null or empty.",Medium,"[{""input"": {""nums"": [1, 3, 5, 6], ""target"": 5}, ""output"": 2}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 2}, ""output"": 1}]","[""-10^4 <= target <= 10^4"", ""nums contains distinct values sorted in ascending order."", ""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [1, 3, 5, 6], ""target"": 5}, ""expected_output"": 2}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 2}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 7}, ""expected_output"": 4}, {""input"": {""nums"": [1, 3, 5, 6], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [1], ""target"": 0}, ""expected_output"": 0}]"
